"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"1","0.000","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","","","","","0"
"2","0.001","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"6","0.008","55:01:2a:98:35:1d","LE 1M","LE LL","23","3760\302\265s","","","","0"
"7","0.009","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","2974\302\265s","","","","0"
"8","0.011","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","369\302\265s","","","","0"
"9","0.012","7d:1c:43:f0:f1:ab","LE 1M","LE LL","20","4127\302\265s","","","","0"
"13","0.015","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","3432\302\265s","","","","0"
"14","0.016","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"24","0.026","16:79:cc:6c:ea:aa","LE 1M","LE LL","36","225\302\265s","","","","0"
"25","0.028","16:79:cc:6c:ea:aa","LE 1M","LE LL","36","136\302\265s","","","","0"
"26","0.028","16:79:cc:6c:ea:aa","LE 1M","LE LL","36","137\302\265s","","","","0"
"27","0.029","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","589\302\265s","","","","0"
"28","0.030","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"29","0.031","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"33","0.035","ec:d4:18:8a:ae:b0","LE 1M","LE LL","14","272\302\265s","","","","0"
"34","0.035","ec:d4:18:8a:ae:b0","LE 1M","LE LL","14","132\302\265s","","","","0"
"35","0.036","ec:d4:18:8a:ae:b0","LE 1M","LE LL","14","132\302\265s","","","","0"
"36","0.037","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","23024\302\265s","","","","0"
"37","0.038","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
