"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"1","0.000","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","","","","","0"
"2","0.001","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"3","0.003","01:61:72:42:77:a7","LE 1M","LE LL","37","4467\302\265s","","","","0"
"4","0.005","01:61:72:42:77:a7","LE 1M","LE LL","37","187\302\265s","","","","0"
"5","0.007","01:61:72:42:77:a7","LE 1M","LE LL","37","194\302\265s","","","","0"
"6","0.008","55:01:2a:98:35:1d","LE 1M","LE LL","23","3760\302\265s","","","","0"
"7","0.009","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","2974\302\265s","","","","0"
"8","0.011","7c:86:33:7b:0b:6d","LE 1M","LE LL","23","369\302\265s","","","","0"
"9","0.012","7d:1c:43:f0:f1:ab","LE 1M","LE LL","20","4127\302\265s","","","","0"
"10","0.013","0b:e4:6f:5b:10:c6","LE 1M","LE LL","36","2305\302\265s","","","","0"
"11","0.013","51:48:89:c2:ea:aa","LE 1M","LE LL","37","943\302\265s","","","","0"
"12","0.014","4c:c7:43:fa:3e:b8","LE 1M","LE LL","37","840\302\265s","","","","0"
"13","0.015","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","3432\302\265s","","","","0"
"14","0.016","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"15","0.017","fa:0d:ac:60:77:f4","LE 1M","LE LL","17","316\302\265s","","","","0"
"16","0.018","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","139\302\265s","","","","0"
"17","0.019","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","360\302\265s","","","","0"
"18","0.020","75:8a:90:d3:2f:da","LE 1M","LE LL","12","9423\302\265s","","","","0"
"19","0.021","c6:65:16:ca:be:8d","LE 1M","LE LL","35","506\302\265s","","","","0"
