"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"1","0.000","35.155.218.27","","TCP","","","","","",""
"2","0.000","10.4.167.19","","TCP","","","","","",""
"3","0.052","10.4.167.19","","TCP","","","","","",""
"4","0.052","10.4.167.19","","TCP","","","","","",""
"5","0.057","10.1.120.133","","TCP","","","","","",""
"6","0.057","10.1.91.142","","TCP","","","","","",""
"7","0.100","10.4.167.19","","TCP","","","","","",""
"8","0.100","10.4.167.19","","TCP","","","","","",""
"9","0.490","10.4.167.19","","UDP","","","","","",""
"10","0.719","10.4.167.19","","TCP","","","","","",""
"11","0.726","10.1.93.70","","TCP","","","","","",""
"12","0.767","10.4.167.19","","TCP","","","","","",""
"13","1.777","10.4.167.19","","TCP","","","","","",""
"14","1.795","10.1.90.155","","TCP","","","","","",""
"15","1.841","10.4.167.19","","TCP","","","","","",""
"16","2.256","10.4.167.19","","TCP","","","","","",""
"17","2.271","10.1.122.227","","TCP","","","","","",""
"18","2.319","10.4.167.19","","TCP","","","","","",""
"19","3.315","162.125.6.20","","TLSv1.2","","","","","",""
"20","3.315","10.4.167.19","","TLSv1.2","","","","","",""
"21","3.316","10.4.167.19","","TLSv1.2","","","","","",""
"22","3.340","162.125.6.20","","TCP","","","","","",""
"23","3.340","162.125.6.20","","TLSv1.2","","","","","",""
"24","3.340","162.125.6.20","","TCP","","","","","",""
"25","3.340","10.4.167.19","","TCP","","","","","",""
"26","3.518","10.4.167.19","","UDP","","","","","",""
"27","3.651","162.159.134.234","","TLSv1.2","","","","","",""
"28","3.704","10.4.167.19","","TCP","","","","","",""
"29","3.824","162.159.134.234","","TLSv1.2","","","","","",""
"30","3.879","10.4.167.19","","TCP","","","","","",""
"31","4.094","35.155.218.27","","TCP","","","","","",""
"32","4.094","10.4.167.19","","TCP","","","","","",""
"33","4.291","10.4.167.19","","MDNS","","","","","",""
"34","4.291","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"35","4.292","10.4.167.19","","MDNS","","","","","",""
"36","4.292","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"37","5.002","162.159.134.234","","TLSv1.2","","","","","",""
"38","5.053","10.4.167.19","","TCP","","","","","",""
"39","5.069","10.4.167.19","","TCP","","","","","",""
"40","5.069","10.4.167.19","","TCP","","","","","",""
"41","5.073","10.1.120.133","","TCP","","","","","",""
"42","5.075","10.1.91.142","","TCP","","","","","",""
"43","5.117","10.4.167.19","","TCP","","","","","",""
"44","5.117","10.4.167.19","","TCP","","","","","",""
"45","5.290","10.4.167.19","","TCP","","","","","",""
"46","5.291","10.4.167.19","","MDNS","","","","","",""
"47","5.291","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"48","5.291","10.4.167.19","","MDNS","","","","","",""
"49","5.291","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"50","5.299","34.120.195.249","","TCP","","","","","",""
"51","5.607","98.126.5.106","","TCP","","","","","",""
"52","5.607","10.4.167.19","","TCP","","","","","",""
"53","5.607","10.4.167.19","","TCP","","","","","",""
"54","5.607","10.4.167.19","","TCP","","","","","",""
"55","5.619","23.219.217.57","","TLSv1.2","","","","","",""
"56","5.619","23.219.217.57","","TCP","","","","","",""
"57","5.619","10.4.167.19","","TCP","","","","","",""
"58","5.668","98.126.5.106","","TCP","","","","","",""
"59","5.702","162.159.134.234","","TLSv1.2","","","","","",""
"60","5.712","162.159.134.234","","TLSv1.2","","","","","",""
"61","5.712","10.4.167.19","","TCP","","","","","",""
"62","5.736","10.4.167.19","","TCP","","","","","",""
"63","5.741","10.1.93.70","","TCP","","","","","",""
"64","5.743","162.159.134.234","","TLSv1.2","","","","","",""
"65","5.774","162.159.134.234","","TLSv1.2","","","","","",""
"66","5.775","10.4.167.19","","TCP","","","","","",""
"67","5.781","162.159.134.234","","TLSv1.2","","","","","",""
"68","5.783","10.4.167.19","","TCP","","","","","",""
"69","5.784","162.159.134.234","","TLSv1.2","","","","","",""
"70","5.784","10.4.167.19","","TCP","","","","","",""
"71","5.792","162.159.134.234","","TLSv1.2","","","","","",""
"72","5.792","162.159.134.234","","TLSv1.2","","","","","",""
"73","5.792","10.4.167.19","","TCP","","","","","",""
"74","5.796","162.159.134.234","","TLSv1.2","","","","","",""
"75","5.801","162.159.134.234","","TLSv1.2","","","","","",""
"76","5.801","10.4.167.19","","TCP","","","","","",""
"77","5.815","162.159.134.234","","TLSv1.2","","","","","",""
"78","5.825","162.159.134.234","","TLSv1.2","","","","","",""
"79","5.825","10.4.167.19","","TCP","","","","","",""
"80","5.880","162.159.134.234","","TLSv1.2","","","","","",""
"81","5.893","162.159.134.234","","TLSv1.2","","","","","",""
"82","5.893","10.4.167.19","","TCP","","","","","",""
"83","5.938","98.126.5.106","","TCP","","","","","",""
"84","5.938","10.4.167.19","","TLSv1.2","","","","","",""
"85","5.938","10.4.167.19","","TLSv1.2","","","","","",""
"86","5.951","104.18.8.190","","TCP","","","","","",""
"87","5.951","104.18.8.190","","TLSv1.2","","","","","",""
"88","5.951","10.4.167.19","","TCP","","","","","",""
"89","5.963","104.18.8.190","","TCP","","","","","",""
"90","5.963","104.18.8.190","","TCP","","","","","",""
"91","5.963","104.18.8.190","","TCP","","","","","",""
"92","5.963","104.18.8.190","","TCP","","","","","",""
"93","5.963","104.18.8.190","","TCP","","","","","",""
"94","5.963","104.18.8.190","","TCP","","","","","",""
"95","5.963","104.18.8.190","","TCP","","","","","",""
"96","5.963","104.18.8.190","","TCP","","","","","",""
"97","5.963","104.18.8.190","","TCP","","","","","",""
"98","5.963","104.18.8.190","","TCP","","","","","",""
"99","5.963","104.18.8.190","","TCP","","","","","",""
"100","5.963","104.18.8.190","","TCP","","","","","",""
"101","5.963","104.18.8.190","","TLSv1.2","","","","","",""
"102","5.963","104.18.8.190","","TCP","","","","","",""
"103","5.963","104.18.8.190","","TCP","","","","","",""
"104","5.963","104.18.8.190","","TCP","","","","","",""
"105","5.963","104.18.8.190","","TCP","","","","","",""
"106","5.963","104.18.8.190","","TCP","","","","","",""
"107","5.963","104.18.8.190","","TCP","","","","","",""
"108","5.963","104.18.8.190","","TCP","","","","","",""
"109","5.963","104.18.8.190","","TCP","","","","","",""
"110","5.963","104.18.8.190","","TCP","","","","","",""
"111","5.963","104.18.8.190","","TCP","","","","","",""
"112","5.963","104.18.8.190","","TCP","","","","","",""
"113","5.963","104.18.8.190","","TLSv1.2","","","","","",""
"114","5.963","104.18.8.190","","TCP","","","","","",""
"115","5.963","104.18.8.190","","TCP","","","","","",""
"116","5.963","104.18.8.190","","TCP","","","","","",""
"117","5.963","10.4.167.19","","TCP","","","","","",""
"118","5.964","10.4.167.19","","TCP","","","","","",""
"119","5.964","10.4.167.19","","TCP","","","","","",""
"120","5.964","10.4.167.19","","TCP","","","","","",""
"121","5.964","10.4.167.19","","TCP","","","","","",""
"122","5.964","10.4.167.19","","TCP","","","","","",""
"123","5.964","10.4.167.19","","TCP","","","","","",""
"124","5.964","10.4.167.19","","TCP","","","","","",""
"125","5.964","10.4.167.19","","TCP","","","","","",""
"126","5.964","10.4.167.19","","TCP","","","","","",""
"127","5.965","104.18.8.190","","TCP","","","","","",""
"128","5.965","104.18.8.190","","TCP","","","","","",""
"129","5.965","104.18.8.190","","TCP","","","","","",""
"130","5.965","104.18.8.190","","TCP","","","","","",""
"131","5.965","104.18.8.190","","TCP","","","","","",""
"132","5.965","104.18.8.190","","TCP","","","","","",""
"133","5.965","104.18.8.190","","TCP","","","","","",""
"134","5.965","104.18.8.190","","TCP","","","","","",""
"135","5.965","104.18.8.190","","TCP","","","","","",""
"136","5.965","104.18.8.190","","TLSv1.2","","","","","",""
"137","5.965","104.18.8.190","","TCP","","","","","",""
"138","5.965","104.18.8.190","","TCP","","","","","",""
"139","5.965","104.18.8.190","","TCP","","","","","",""
"140","5.965","104.18.8.190","","TLSv1.2","","","","","",""
"141","5.965","104.18.8.190","","TCP","","","","","",""
"142","5.965","104.18.8.190","","TCP","","","","","",""
"143","5.965","104.18.8.190","","TCP","","","","","",""
"144","5.965","104.18.8.190","","TCP","","","","","",""
"145","5.965","104.18.8.190","","TCP","","","","","",""
"146","5.965","104.18.8.190","","TCP","","","","","",""
"147","5.965","104.18.8.190","","TCP","","","","","",""
"148","5.965","104.18.8.190","","TCP","","","","","",""
"149","5.965","104.18.8.190","","TCP","","","","","",""
"150","5.965","104.18.8.190","","TCP","","","","","",""
"151","5.965","104.18.8.190","","TCP","","","","","",""
"152","5.965","104.18.8.190","","TCP","","","","","",""
"153","5.965","104.18.8.190","","TLSv1.2","","","","","",""
"154","5.965","104.18.8.190","","TCP","","","","","",""
"155","5.965","104.18.8.190","","TCP","","","","","",""
"156","5.965","104.18.8.190","","TCP","","","","","",""
"157","5.965","10.4.167.19","","TCP","","","","","",""
"158","5.976","104.18.8.190","","TCP","","","","","",""
"159","5.976","104.18.8.190","","TCP","","","","","",""
"160","5.976","104.18.8.190","","TCP","","","","","",""
"161","5.976","104.18.8.190","","TCP","","","","","",""
"162","5.976","104.18.8.190","","TCP","","","","","",""
"163","5.976","104.18.8.190","","TCP","","","","","",""
"164","5.976","104.18.8.190","","TCP","","","","","",""
"165","5.976","104.18.8.190","","TCP","","","","","",""
"166","5.976","104.18.8.190","","TLSv1.2","","","","","",""
"167","5.976","104.18.8.190","","TCP","","","","","",""
"168","5.976","104.18.8.190","","TCP","","","","","",""
"169","5.976","104.18.8.190","","TCP","","","","","",""
"170","5.976","104.18.8.190","","TCP","","","","","",""
"171","5.976","104.18.8.190","","TCP","","","","","",""
"172","5.976","104.18.8.190","","TCP","","","","","",""
"173","5.976","104.18.8.190","","TCP","","","","","",""
"174","5.976","104.18.8.190","","TCP","","","","","",""
"175","5.976","104.18.8.190","","TCP","","","","","",""
"176","5.976","104.18.8.190","","TCP","","","","","",""
"177","5.976","104.18.8.190","","TCP","","","","","",""
"178","5.976","104.18.8.190","","TCP","","","","","",""
"179","5.976","104.18.8.190","","TLSv1.2","","","","","",""
"180","5.976","104.18.8.190","","TCP","","","","","",""
"181","5.976","104.18.8.190","","TCP","","","","","",""
"182","5.976","104.18.8.190","","TCP","","","","","",""
"183","5.976","104.18.8.190","","TLSv1.2","","","","","",""
"184","5.976","10.4.167.19","","TCP","","","","","",""
"185","6.030","98.126.5.106","","TCP","","","","","",""
"186","6.030","98.126.5.106","","TCP","","","","","",""
"187","6.030","98.126.5.106","","TCP","","","","","",""
"188","6.030","98.126.5.106","","TCP","","","","","",""
"189","6.030","10.4.167.19","","TCP","","","","","",""
"190","6.030","10.4.167.19","","TCP","","","","","",""
"191","6.030","10.4.167.19","","TCP","","","","","",""
"192","6.030","10.4.167.19","","TCP","","","","","",""
"193","6.030","10.4.167.19","","TCP","","","","","",""
"194","6.030","10.4.167.19","","TCP","","","","","",""
"195","6.030","10.4.167.19","","TCP","","","","","",""
"196","6.030","10.4.167.19","","TCP","","","","","",""
"197","6.030","10.4.167.19","","TCP","","","","","",""
"198","6.030","10.4.167.19","","TCP","","","","","",""
"199","6.095","98.126.5.106","","TCP","","","","","",""
"200","6.095","98.126.5.106","","TCP","","","","","",""
"201","6.095","98.126.5.106","","TCP","","","","","",""
"202","6.095","10.4.167.19","","TCP","","","","","",""
"203","6.095","10.4.167.19","","TCP","","","","","",""
"204","6.095","10.4.167.19","","TCP","","","","","",""
"205","6.095","10.4.167.19","","TCP","","","","","",""
"206","6.095","10.4.167.19","","TCP","","","","","",""
"207","6.095","10.4.167.19","","TCP","","","","","",""
"208","6.095","10.4.167.19","","TCP","","","","","",""
"209","6.095","10.4.167.19","","TCP","","","","","",""
"210","6.095","10.4.167.19","","TCP","","","","","",""
"211","6.095","10.4.167.19","","TCP","","","","","",""
"212","6.159","98.126.5.106","","TCP","","","","","",""
"213","6.159","98.126.5.106","","TCP","","","","","",""
"214","6.159","98.126.5.106","","TCP","","","","","",""
"215","6.159","98.126.5.106","","TCP","","","","","",""
"216","6.159","10.4.167.19","","TCP","","","","","",""
"217","6.159","10.4.167.19","","TCP","","","","","",""
"218","6.159","10.4.167.19","","TCP","","","","","",""
"219","6.159","10.4.167.19","","TCP","","","","","",""
"220","6.159","10.4.167.19","","TCP","","","","","",""
"221","6.159","10.4.167.19","","TCP","","","","","",""
"222","6.159","10.4.167.19","","TCP","","","","","",""
"223","6.159","10.4.167.19","","TCP","","","","","",""
"224","6.159","10.4.167.19","","TCP","","","","","",""
"225","6.159","10.4.167.19","","TCP","","","","","",""
"226","6.222","98.126.5.106","","TCP","","","","","",""
"227","6.222","98.126.5.106","","TCP","","","","","",""
"228","6.222","98.126.5.106","","TCP","","","","","",""
"229","6.222","10.4.167.19","","TCP","","","","","",""
"230","6.222","10.4.167.19","","TCP","","","","","",""
"231","6.222","10.4.167.19","","TCP","","","","","",""
"232","6.222","10.4.167.19","","TCP","","","","","",""
"233","6.222","10.4.167.19","","TCP","","","","","",""
"234","6.222","10.4.167.19","","TCP","","","","","",""
"235","6.222","10.4.167.19","","TCP","","","","","",""
"236","6.222","10.4.167.19","","TCP","","","","","",""
"237","6.222","10.4.167.19","","TCP","","","","","",""
"238","6.222","10.4.167.19","","TCP","","","","","",""
"239","6.284","98.126.5.106","","TCP","","","","","",""
"240","6.284","98.126.5.106","","TCP","","","","","",""
"241","6.284","98.126.5.106","","TCP","","","","","",""
"242","6.284","10.4.167.19","","TCP","","","","","",""
"243","6.284","10.4.167.19","","TCP","","","","","",""
"244","6.284","10.4.167.19","","TCP","","","","","",""
"245","6.284","10.4.167.19","","TCP","","","","","",""
"246","6.284","10.4.167.19","","TCP","","","","","",""
"247","6.284","10.4.167.19","","TCP","","","","","",""
"248","6.284","10.4.167.19","","TCP","","","","","",""
"249","6.284","10.4.167.19","","TCP","","","","","",""
"250","6.284","10.4.167.19","","TCP","","","","","",""
"251","6.284","10.4.167.19","","TCP","","","","","",""
"252","6.288","98.126.5.106","","TCP","","","","","",""
"253","6.288","98.126.5.106","","TCP","","","","","",""
"254","6.289","10.4.167.19","","TCP","","","","","",""
"255","6.289","10.4.167.19","","TCP","","","","","",""
"256","6.289","10.4.167.19","","DNS","","","","","",""
"257","6.289","10.4.167.19","","DNS","","","","","",""
"258","6.295","146.229.1.200","","DNS","","","","","",""
"259","6.302","146.229.1.200","","DNS","","","","","",""
"260","6.303","10.4.167.19","","TCP","","","","","",""
"261","6.316","23.6.118.80","","TCP","","","","","",""
"262","6.316","10.4.167.19","","TCP","","","","","",""
"263","6.316","10.4.167.19","","TCP","","","","","",""
"264","6.348","98.126.5.106","","TCP","","","","","",""
"265","6.348","98.126.5.106","","TCP","","","","","",""
"266","6.348","98.126.5.106","","TCP","","","","","",""
"267","6.348","98.126.5.106","","TCP","","","","","",""
"268","6.348","10.4.167.19","","TCP","","","","","",""
"269","6.348","10.4.167.19","","TCP","","","","","",""
"270","6.348","10.4.167.19","","TCP","","","","","",""
"271","6.348","10.4.167.19","","TCP","","","","","",""
"272","6.348","10.4.167.19","","TCP","","","","","",""
"273","6.348","10.4.167.19","","TCP","","","","","",""
"274","6.348","10.4.167.19","","TCP","","","","","",""
"275","6.348","10.4.167.19","","TCP","","","","","",""
"276","6.348","10.4.167.19","","TCP","","","","","",""
"277","6.348","10.4.167.19","","TCP","","","","","",""
"278","6.379","98.126.5.106","","TCP","","","","","",""
"279","6.410","98.126.5.106","","TCP","","","","","",""
